páwa	[接続詞] だけど
ghíyo	[母音幹名詞] 塩
ghau	[母音幹名詞] 刀
ghau ja ghá	[母音幹名詞] 武器
hámúḷ	[状態動詞] <主格>は美しい
háṣin	[名詞接続詞] ～無き～
háta	[母音幹名詞] 布
hem	[無変化動詞] <主格>は<主格>である §3.3.
hemúḷ	[状態動詞] <主格>は存在する、<主格>は<hína>に存在する、<hína>は<主格>を持っている	[状態動詞] <主格>は<不定詞>している最中である
helazá	[母音幹名詞]{複数形のみ} 波
heyáz	[子音幹名詞] 思考
hína	[後置詞] ～に、～で
horabát	[子音幹名詞] 文化
horúḷ	[動作動詞] <主格>は<対格>を書いて文章を残す
ja	[文接続詞] そして	[名詞接続詞] ～と～
janáúḷ	[動作動詞] <主格>は<oṣa>を材料として<対格>を作る
janúḷ	[動作動詞] 生じる、発生する
jarúṣi	[文接続詞] そしてその後
juecleone	[母音幹名詞] ユエスレオネ連邦（国名）
júg	[子音幹名詞] ユーゲ人
jo	[名詞接続詞] ～または～
josedúḷ	[動作動詞] <主格>が沈む、<ghi>が<主格>という知識／経験を身につける、食物<主格>が<ghi>に消化される
jok	[子音幹名詞] ヴィォック（外来人名）
jog	[gh性名詞] 誤った発言	[間投詞] そんなことはない
wát	[子音幹名詞] ワート弁（話者）
wátaṣág	[gh性名詞] ワート弁を喋りやがる奴、bh と w を発音し分けることもできない下賤な民 §5.3.
wáḷa	[副詞] お互いに
wephise	[母音幹名詞] ヴェフィス語（言語名）、ヴェフィス民族（民族名）
woghit	[子音幹名詞] 兄弟
amáma	[連体詞] 大きい、偉大な
amila	[母音幹名詞] 魚
ammúḷ	[動作動詞] 降りる、下る
accabát	[子音幹名詞] (文法上の)文
accúḷ	[動作動詞] <主格>は<対格>という文字列を書く
asíjaúḷ	[動作動詞] <主格>は<対格>へ投石する
azúg	[子音幹名詞] 謀略
aṭaza	[母音幹名詞] 思想、イデオロギー
adha	[母音幹名詞] 目
adheṣ	[子音幹名詞] 王、アデーシュ（人名）
aḍí	[間投詞] えーと（フィラー） §1.2.
aḍuhazoúḷ	[動作動詞] <主格>は<対格>を見る
aghauṭa	[母音幹名詞] 本、図書
ápa	[母音幹名詞] 私
áphíyo	[母音幹名詞] マーク、ロゴ、シンボル
ápaum	[連体詞] 私の
áma	[母音幹名詞] あなた、お前
ám	[副詞] ～しない §3.3.
ámaum	[連体詞] あなたの、お前の
áṣá	[後置詞] ～のせいで、～のおかげで、～が原因で
ásúka	[母音幹名詞] 人
ázá	[母音幹名詞] 主格
ánom	[子音幹名詞] 属格
ákúḷ	[動作動詞] <主格>は<対格>を読む
ághat	[子音幹名詞] 香辛料
ághi	[母音幹名詞] 血
epa	[母音幹名詞] 土地、領域、場所
ema	[後置詞] <不定詞>を
elesa	[母音幹名詞] 対格
eghi	[母音幹名詞] 石
ehai	[母音幹名詞] 王冠
ea	[間投詞] えーと（フィラー） §1.2.
úro	[母音幹名詞] 墨、墨汁
úroom	[連体詞] 黒い
úroúḷ	[状態動詞] <主格>は黒い
otúḷ	[動作動詞] <主格>は<対格>を<具格>で置き換える [状態動詞] <主格>は<対格>に取って代わるものである
ohi	[母音幹名詞] 友、友人
aibhausa	[母音幹名詞] 具格
auphphág	[子音幹名詞] マスク
aumúḷ	[状態動詞] <主格>は傾いている
